trial_id,condition,speed,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,speed_mps,config_sha256,initial_gap_m,t_start_s,perception_ok,planner_ok,monitor_ok,controller_ok,no_fault_flags,all_pass,nan_or_unstable,label,ordered_events,margin_breach,t_mismatch_s,trigger_t_s,breach_start_t_s,positive_cmd_during_delay,pos_cmd_runs_json,min_margin_m,peak_contact_force_n,gate_violations,first_gate_violation_t_s,reconciliation_logged,c3_fault_start_t_s,t_final_s,baseline_trigger_t_s,stop_latency_s
T0053,C0,0.3,0,0.0,2003,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7917851899824734,0.11524635688352662,True,True,True,True,True,True,False,CONTAINED,False,False,,2.121999999999988,,False,"[(0.1220000000000001, 2.119999999999988)]",0.014289189982459705,0,0,,False,,2.2719999999999714,,
T0054,C0,0.3,0,0.0,2004,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8056081206603932,0.09163625115989077,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1419999999999857,,False,"[(0.10200000000000008, 2.139999999999986)]",0.01611212066037848,0,0,,False,,2.291999999999969,,
T0055,C0,0.3,0,0.0,2005,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8087098800885579,0.09935483591218101,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1419999999999857,,False,"[(0.10200000000000008, 2.139999999999986)]",0.019213880088542912,0,0,,False,,2.291999999999969,,
T0056,C0,0.3,0,0.0,2006,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8148790546334592,0.10236286484297535,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1819999999999813,,False,"[(0.1220000000000001, 2.1799999999999815)]",0.019383054633443753,0,0,,False,,2.3319999999999648,,
T0057,C0,0.3,0,0.0,2007,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.810394875271181,0.09929178544331645,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1619999999999835,,False,"[(0.10200000000000008, 2.1599999999999837)]",0.014898875271165957,0,0,,False,,2.311999999999967,,
T0058,C0,0.3,0,0.0,2008,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8158063004135472,0.10743808115605875,True,True,True,True,True,True,False,CONTAINED,False,False,,2.201999999999979,,False,"[(0.1220000000000001, 2.1999999999999793)]",0.014310300413531707,0,0,,False,,2.3519999999999626,,
T0059,C0,0.3,0,0.0,2009,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7884783102283679,0.10405825161735721,True,True,True,True,True,True,False,CONTAINED,False,False,,2.10199999999999,,False,"[(0.1220000000000001, 2.0999999999999903)]",0.016982310228354447,0,0,,False,,2.2519999999999736,,
T0060,C0,0.3,0,0.0,2010,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7897396498151904,0.10337277553749558,True,True,True,True,True,True,False,CONTAINED,False,False,,2.10199999999999,,False,"[(0.1220000000000001, 2.0999999999999903)]",0.018243649815176843,0,0,,False,,2.2519999999999736,,
T0061,C0,0.3,0,0.0,2011,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8099000000367622,0.09007591927072212,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1419999999999857,,False,"[(0.10200000000000008, 2.139999999999986)]",0.020404000036747083,0,0,,False,,2.291999999999969,,
T0062,C0,0.3,0,0.0,2012,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.789512751771736,0.08292894093741042,True,True,True,True,True,True,False,CONTAINED,False,False,,2.10199999999999,,False,"[(0.10200000000000008, 2.0999999999999903)]",0.012016751771722511,0,0,,False,,2.2519999999999736,,
T0063,C0,0.3,0,0.0,2013,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7908453791260267,0.09047304222016159,True,True,True,True,True,True,False,CONTAINED,False,False,,2.0819999999999923,,False,"[(0.10200000000000008, 2.0799999999999925)]",0.019349379126013033,0,0,,False,,2.231999999999976,,
T0064,C0,0.3,0,0.0,2014,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8167433611245867,0.10857002910916988,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1819999999999813,,False,"[(0.1220000000000001, 2.1799999999999815)]",0.02124736112457104,0,0,,False,,2.3319999999999648,,
T0065,C0,0.3,0,0.0,2015,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8001628881859826,0.08889580491419458,True,True,True,True,True,True,False,CONTAINED,False,False,,2.121999999999988,,False,"[(0.10200000000000008, 2.119999999999988)]",0.01666688818596823,0,0,,False,,2.2719999999999714,,
