"doc_id","dominant_topic","max_prob"
607,6,0.521767304165325
631,1,0.822953419850333
632,4,0.343383053487301
633,4,0.522681524289304
636,5,0.902609008327306
639,4,0.437084916171539
643,1,0.760306663188088
645,4,0.974337904303903
647,4,0.523069367147857
648,11,0.648165833354539
649,11,0.360276795006406
650,4,0.458075398057551
655,5,0.77473299529196
656,3,0.346386989525095
657,11,0.32357581710407
659,1,0.825221829764831
663,4,0.686998980223596
669,5,0.531954765095769
672,1,0.295932050791045
678,4,0.716744278857079
690,4,0.621778008741774
701,4,0.54802706485948
703,4,0.895091899682059
708,4,0.803790599904222
709,12,0.444750830930818
713,7,0.79649542051157
714,3,0.401311585999669
715,7,0.592838109790644
720,10,0.334431346314635
723,4,0.3709103358816
725,11,0.302003436535403
731,4,0.825611886827316
734,4,0.494405141997181
741,10,0.382128285745273
745,7,0.711902279832858
747,1,0.798822419513854
750,6,0.410236441671265
755,4,0.647091908181469
757,4,0.470739482583269
758,4,0.66911830132285
759,4,0.716810610247222
768,10,0.60936595711077
769,10,0.748092286047224
773,4,0.835204867555125
774,4,0.366887963154536
777,5,0.947154231830774
782,12,0.649882943044001
784,2,0.492432278269069
785,4,0.517495046827763
786,4,0.607065119441462
787,1,0.864765214069648
794,4,0.530616835457374
802,4,0.41280207923647
806,4,0.565677311516571
808,4,0.534169833123505
811,1,0.7524859170601
819,4,0.488258857940602
824,4,0.750173401275781
826,4,0.882324852724699
827,9,0.523699870477622
831,4,0.518972758509119
839,5,0.869869593067926
841,2,0.385933481851823
845,1,0.413527862423959
847,4,0.478492197562752
849,2,0.278698992174843
862,1,0.46098152667444
863,12,0.411041679645352
865,12,0.428546992511901
867,2,0.605192893676554
868,6,0.360670672599056
870,9,0.326834767363299
873,1,0.506340121608001
874,4,0.50184648939231
876,4,0.490365135125874
884,4,0.79355146606682
887,4,0.604386544127519
890,1,0.682932638216645
891,1,0.449500822608325
894,2,0.363488223894199
897,11,0.477174195575466
899,8,0.278584596270559
900,7,0.467245452836373
901,7,0.599513972308509
903,4,0.563399573176442
904,5,0.768827326070024
905,11,0.458602387109255
906,1,0.897822630834196
913,2,0.624710776420358
914,12,0.642673681631154
918,7,0.461310495198784
921,11,0.844105473075569
922,4,0.809403395369261
936,11,0.394378971228786
937,1,0.876617167670092
938,5,0.533163287421514
939,5,0.533163287421514
943,11,0.552238331041661
950,2,0.368791695295982
955,5,0.94478330207608
957,4,0.561630977088497
964,4,0.329749838076091
965,5,0.656483432382814
967,4,0.477865658761762
968,9,0.379348832237454
981,9,0.25276589230891
985,11,0.457930401031049
986,11,0.305474867451411
993,11,0.817442725748304
994,4,0.7230873890738
1000,9,0.310178216916466
1001,4,0.518741132413991
1003,12,0.42360918299192
1011,4,0.323372590673578
1012,1,0.676914260314076
1014,5,0.649755640803051
1015,1,0.462938573046896
1021,2,0.520512735844994
1026,12,0.874665728980835
1031,4,0.688799308092721
1039,11,0.581690791720357
1042,11,0.322839022712393
1043,2,0.417244375829656
1047,5,0.446665504900869
1052,7,0.6862367018371
1059,2,0.481038861166368
1063,4,0.40505943052809
1069,2,0.408378902479148
1072,2,0.274775496707572
1081,6,0.382009004123162
1082,2,0.37599275210073
1083,2,0.59795658591588
1086,12,0.309396857046211
1089,5,0.723130575430413
