bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level,variant
64,64_charging_wireless_wireless electromagnetic_electromagnetic,1,thermal_management,0.01,growing,growing,mature,0.2652,True,24,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY,cut_2025
65,65_social_reasoning_instruction_remote,4,safe_control,0.01,mature,mature,growing,0.1554,True,18,0.8,0.01,0.1,0.008,LOW,cut_2025
66,66_magnetic_powder_material_adhesive,0,not_safety,0.01,growing,mature,growing,0.2146,True,21,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
67,67_dance_music_playing_piano,0,not_safety,0.01,growing,mature,mature,0.3891,True,18,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
68,68_animation_bone_skeleton_digital,0,not_safety,0.01,mature,mature,growing,0.2573,True,14,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
69,69_embodiments_agricultural_various embodiments_interfaces,0,not_safety,0.6665800594549076,declining,declining,saturated,0.0701,True,16,0.0,0.6665800594549076,0.6,0.0,NON_SAFETY,cut_2025
70,70_elevator_main elevator_floor_secondary elevator,0,not_safety,0.01,growing,mature,mature,0.4006,True,22,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
71,71_moving_double mechanical_mechanical_double,1,force_control,0.01,growing,growing,growing,0.1255,True,22,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
72,72_cleaning_mechanism_chassis_cleaning mechanism,0,not_safety,0.01,growing,mature,saturated,0.2655,True,20,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2025
73,73_power_supply_power supply_battery,1,stability_balance,0.01,growing,growing,mature,0.2579,True,18,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY,cut_2025
74,74_target_foot_state data_landing,2,stability_balance,0.01,growing,growing,declining,0.0,True,13,0.4,0.01,1.0,0.04,MEDIUM,cut_2025
75,75_chair_group_handle_movable,0,not_safety,0.01,growing,growing,declining,0.341,True,19,0.0,0.01,1.0,0.0,NON_SAFETY,cut_2025
76,76_elements_elements articulation_articulation_given,4,force_control,0.01,growing,growing,saturated,0.0,True,5,0.8,0.01,0.6,0.048,MEDIUM,cut_2025
0,0_leg_end_wheel_connected,2,stability_balance,0.01,growing,mature,mature,0.2149,True,431,0.4,0.01,0.35,0.013999999999999999,LOW,cut_2024
1,1_humanoid robot_humanoid_joint_robot,2,safe_control,0.01,growing,mature,mature,0.3193,True,185,0.4,0.01,0.35,0.013999999999999999,LOW,cut_2024
2,2_voice_user_emotion_expression,0,not_safety,0.01,growing,mature,mature,0.3068,True,182,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2024
3,3_foot_robot_foot robot_leg,2,stability_balance,0.01,mature,mature,growing,0.1452,True,117,0.4,0.01,0.1,0.004,LOW,cut_2024
4,4_finger_thumb_palm_knuckle,0,not_safety,0.01,growing,mature,mature,0.428,True,127,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2024
5,5_learning_training_strategy_network,1,not_safety,0.01,growing,mature,growing,0.1497,True,51,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2024
6,6_network_learning_foot_strategy,0,not_safety,0.01,mature,mature,growing,0.0,True,72,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2024
7,7_vehicle_lane_driving_lane changing,2,collision_protection,0.24999999998845923,declining,declining,mature,0.0238,True,99,0.4,0.24999999998845923,0.35,0.3499999999838429,HIGH,cut_2024
8,8_patient_medical_device_user,1,fault_detection,0.01,mature,mature,mature,0.2273,True,111,0.2,0.01,0.35,0.006999999999999999,NON_SAFETY,cut_2024
9,9_hip_thigh_joint_second,0,not_safety,0.01,growing,mature,growing,0.1341,True,72,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2024
10,10_grabbing_hand_task_humanoid,0,not_safety,0.01,mature,mature,growing,0.1596,True,56,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2024
11,11_toy_left_doll_game,0,not_safety,0.01,growing,growing,saturated,0.3085,True,80,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2024
